Country,Amusement parks
Canada,33
Costa Rica,1
Cuba,2
Dominican Republic,1
El Salvador,1
Guatemala,3
Jamaica,4
Mexico,42
United States,368
Argentina,2
Brazil,14
Chile,1
Colombia,7
Ecuador,1
Venezuela,8
Armenia,1
Bahrain,1
Bangladesh,3
Brunei,1
China,25
Hong Kong,5
India,31
Indonesia,11
Iran,2
Japan,27
North Korea,6
South Korea,7
Saudi Arabia,2
Kuwait,2
Malaysia,13
Myanmar,1
Pakistan,7
Philippines,13
Qatar,1
Singapore,7
Sri Lanka,3
Taiwan,10
Thailand,10
Turkmenistan,1
United Arab Emirates,9
Austria,12
Azerbaijan,1
Belarus,3
Belgium,13
Croatia,3
Cyprus,3
Czech Republic,3
Denmark,15
Finland,11
France,48
Germany,74
Greece,3
Hungary,1
Ireland,6
Italy,27
Liechtenstein,1
Lithuania,2
Luxembourg,1
Malta,3
Netherlands,34
Norway,5
Poland,15
Portugal,10
Romania,6
Russia,15
Slovakia,2
Slovenia,1
Spain,15
Sweden,12
Switzerland,3
Turkey,5
Ukraine,1
United Kingdom,47
Australia,50
New Zealand,4
Algeria,2
Botswana,1
Egypt,8
Libya,1
Mauritius,1
Morocco,6
Nigeria,8
South Africa,9
Sudan,1