"country","MichelinStarsTotalRestaurantsWithMichelinStars2023","MichelinStars1StarRestaurantsTotal2023","MichelinStars2StarRestaurantsTotal2023","MichelinStars3StarRestaurantsTotal2023","MichelinStarsGreenStarRestaurantsTotal2023"
"China",122,102,16,4,2
"United States",223,177,33,13,13
"Brazil",13,10,3,,
"Japan",414,321,72,21,27
"Vietnam",4,4,,,
"Turkey",5,4,1,,1
"Germany",329,270,50,9,72
"Thailand",35,29,6,,3
"United Kingdom",187,159,8,20,28
"France",626,524,73,29,89
"Italy",381,331,38,12,49
"South Korea",35,25,8,2,3
"Spain",248,201,34,13,38
"Poland",1,1,,,
"Canada",21,20,1,,
"Malaysia",4,4,,,
"Taiwan",37,30,6,1,4
"Netherlands",123,101,20,2,15
"Belgium",138,114,21,3,14
"Sweden",19,15,3,1,8
"Czech Republic",2,2,,,
"Greece",10,8,2,,2
"Portugal",37,30,7,,3
"Hungary",9,7,2,,4
"United Arab Emirates",17,14,3,,3
"Austria",16,9,6,1,2
"Switzerland",128,100,24,4,27
"Hong Kong",77,57,13,7,3
"Singapore",51,41,7,3,
"Denmark",32,21,9,2,18
"Finland",7,6,1,,4
"Norway",20,18,1,1,8
"Ireland",17,13,4,,1
"Croatia",11,11,,,3
"Slovenia",9,8,1,,6
"Estonia",2,1,1,,2
"Macau",17,9,5,3,1
"Luxembourg",9,8,1,,1
"Malta",6,6,,,
"Iceland",3,3,,,1
"Andorra",1,1,,,
"Liechtenstein",1,1,,,
"Monaco",6,4,1,1,
"San Marino",6,5,1,,2